Course Code,Course name,Description
19CSE453,Natural Language Processing,"This course is dedicated to the exploration of phonological, morphological, and syntactic processing in language. These facets will be examined through both linguistic and algorithmic lenses. The course's core emphasis lies in unraveling the computational intricacies of natural languages and the algorithms harnessed for their analysis. Furthermore, the course delves into the alignment between grammar formalisms and the linguistic patterns they encompass. By the end of the course, students will possess a comprehensive understanding of how language processing, linguistics, and computational algorithms intersect to comprehend language's nuances."
19CSE454,Information Retrieval,"The core objective of this course is to delve into the intricacies of Information Retrieval (IR) challenges and provide students with the expertise to design and execute practical applications. The curriculum covers a spectrum of topics, including word statistics, the Vector Space Model (VSM) with components such as relevance feedback, query expansion, document normalization, and document reranking. Further exploration encompasses retrieval evaluation, generalized VSM, latent semantic indexing, web retrieval, data fusion, metasearch, and multimodal retrieval. By the course's conclusion, students will have gained both theoretical insights and practical skills necessary to tackle complex IR problems and construct effective retrieval systems."
19CSE455,Artificial Intelligence and Robotics,"The objective of this course is to provide learners with a firm grasp of fundamental principles within AI and robotics technologies. By course completion, learners will be capable of implementing machine learning algorithms for practical applications encompassing AI and robotics. Through theoretical understanding and hands-on experience, this course equips students to navigate the realms of artificial intelligence and robotics effectively."
19CSE456,Neural Networks and Deep Learning,"This course serves as an introductory exploration into the realm of deep neural network models, offering insights into their mechanics and applications. It delves into various aspects, including feedforward networks, convolutional networks, recurrent and recursive networks, along with broader subjects like input encoding and training methods. Through this course, students will not only grasp the foundational principles but also survey the diverse applications where these models have achieved notable success."
19CSE457,Bayesian Machine Learning,"This course aims to provide a foundational understanding of Bayesian methods, starting from the fundamentals of defining a probabilistic model and extending to the techniques for making predictions based on that model. Through this course, students will develop a solid grasp of the core principles and practical applications of Bayesian approaches."
19CSE458,Computational Intelligence,"This course comprehensively addresses practical concepts related to adaptation and self-organization. Encompassing various paradigms, algorithms, and implementations, it equips students with the skills to exhibit intelligent behavior in intricate and dynamic environments. Notably, the course emphasizes bottom-up methodologies that leverage soft computing heuristics, diverging from traditional hard computing approaches based on logic. By its conclusion, students will be adept at deploying nature-inspired methods to tackle challenging problems and achieve adaptable solutions."
19CSE459,Advanced Algorithms and Analysis,"In this course, students delve into advanced algorithm design and analysis techniques that go beyond the basics. They explore more intricate and sophisticated algorithms used in various real-world applications. By mastering these advanced techniques, students gain a deeper understanding of algorithmic problem-solving and are better equipped to address complex computational challenges in diverse fields."
19CSE460,User Experience Design,"This course offers a comprehensive exploration of the user experience (UX) design process, aiming to familiarize students with the methodologies, concepts, and techniques required to integrate user experience design effectively into the development of information interfaces. It provides students with the resources, skills, and practical experience necessary to approach information interface design from a user-centered perspective. Graduates of this course will be well-prepared to apply their knowledge and insights to their professional roles as user experience designers, information architects, usability engineers, and more within the IT domain. They will have the ability to apply their learning to design websites, mobile applications, enterprise and consumer software products, and various applications with a strong focus on user experience."
19CSE461,Net Centric Programming,"This course offers students an overview of the technologies and industry standards essential for designing network-based applications and solutions. It provides valuable insights into Mean Stack development, emphasizing the utilization of appropriate technologies within this framework. By the end of the course, students will have a solid understanding of the tools and practices needed to create robust and efficient network-based applications."
19CSE462,Introduction To Game Theory,"This course has several objectives. It aims to introduce students to the novel concepts of game theory, encompassing both cooperative and non-cooperative games, as well as mechanism design concepts. The course places special emphasis on applying these concepts in contemporary computer engineering domains such as cloud computing systems, social media analytics, security mechanisms, internet marketing strategies, wireless networks, and cyber-physical systems. Upon completing this course, students should be adept at modeling and solving problems across interdisciplinary domains. They will possess the skills to model real-world situations using game theory and design robust solutions, including mechanisms, algorithms, and protocols, even when dealing with self-interested entities."
19CSE358,Software Project Management,"This course covers essential aspects of software projects and introduces fundamental principles of engineering software projects. Many students complete projects as part of assignments in various courses, which vary in size, subject, and complexity. However, there are essential project fundamentals that must be comprehended and applied to achieve successful outcomes in team projects. The course aims to impart an understanding of the purpose, methods, and advantages of process management by familiarizing students with concepts, practices, processes, tools, and techniques used in process management for software development. This knowledge is crucial for effective project management and successful software development."
19CSE359,Financial Engineering,"This course provides an introductory overview of financial engineering, covering topics such as cash flows and financial decision-making. It also offers a comprehensive and accessible mathematical exploration of various concepts in introductory investments, including fixed-income securities, modern portfolio theory, optimal portfolio growth, and the valuation of multi-period risky investments. By the end of the course, students will have a solid foundation in financial engineering and investment principles."
19CSE360,Engineering Economic Analysis,"This course is designed to equip engineering students with the skills and knowledge necessary to analyze and comprehend the business world, including the influence of economic factors on business decision-making."
19CSE362,Information Systems,"This course aims to familiarize students with managerial aspects related to information systems and emphasizes the significance of Business Process Reengineering techniques within organizations. Additionally, the course highlights the management of information technology to enhance efficiency, effectiveness, and strategic decision-making processes."
19CSE471,Principles Of Operating Systems,"This course has several objectives. It aims to educate students about the architecture and implementation of modern operating systems and virtual machines, along with their practical applications. Additionally, the course covers techniques for achieving process synchronization and resource management, including memory and CPU, within an operating system. It provides a comparative analysis of common algorithms used for both preemptive and non-preemptive task scheduling, such as priority-based scheduling, performance comparison, and fair-share schemes. Furthermore, the course offers a comprehensive overview of memory hierarchy and the strategies employed by operating systems to efficiently manage storage requirements."
19CSE463,Mobile Application Development,"This hands-on elective course offers an introduction to the fundamental principles of native Android application development using Android Studio. Students will gain the skills to customize activities and intents, create feature-rich user interfaces, and manage data using databases like SQLite. The course also provides exposure to various components, including services, async tasks, broadcast receivers, and content providers. Additionally, students will learn to utilize various APIs, such as Maps, Sensors, and GPS, enabling them to develop practical Android applications for real-world scenarios."
19CSE464,Fundamentals of Software Engineering,"This course serves several purposes. It first introduces students to fundamental software engineering concepts. It also provides an overview of the Agile Software development process. Moreover, it offers hands-on training through experiential learning, allowing students to apply the concepts they've learned in the classroom. This course involves reading and discussion on topics related to software system engineering and software development project design. It covers the current state of software engineering, historical approaches, what has been successful, what hasn't, and the reasons behind these outcomes."
19CSE465,Introduction to Big Data Analytics,"This course has multiple objectives. Firstly, it aims to introduce students to big data technologies and the tools used in handling large volumes of data. It begins with a foundation in relational databases and their implementation using SQL. The second phase delves into the concepts of big data, its architecture, and the storage and processing of data in parallel and distributed systems. The final phase focuses on the retrieval and analysis of unstructured data, employing NoSQL databases. By the end of the course, students will have a comprehensive understanding of big data principles and technologies."
19CSE466,Foundation of Information Technology,"This course encompasses essential concepts in both computer science and engineering, with a specific focus on object-oriented programming, database design, and software engineering. It aims to equip students from non-CSE backgrounds with the necessary knowledge and skills to create applications that address real-world challenges. By the course's conclusion, students will possess a practical understanding of developing solutions that utilize computer science principles to tackle practical problems."
19CSE467,Principles of Database Management System,"This course presents the concepts of database, database design, normalization, database-system implementation and maintenance."
19CSE477,Principles of Computer Networks,"This course serves as an introduction to the fundamental principles of computer networks, elucidating the layered architecture that underpins them. It places a particular emphasis on the network layer and the transport layer, offering in-depth insights into their intricacies and functionalities. By the end of the course, students will have a comprehensive understanding of the foundational aspects of computer networking and the specific layers that contribute to its operation."
